fiscal_year,budget_amount,budget_previous,settlement_amount,settlement_original_budget,execution_rate
104,450773000,,392906947.0,450773000.0,87.16
105,582134000,,547146035.0,582134000.0,93.99
106,559199000,,544549847.0,559199000.0,97.38
107,448984000,,436403460.0,448984000.0,97.2
108,468453000,,448706780.0,468453000.0,95.78
109,454045000,,446030855.0,454045000.0,98.23
110,420705000,,398960380.0,420705000.0,94.83
111,397318000,,387199834.0,397318000.0,97.45
112,415127000,397433000,405735585.0,415019000.0,97.74
113,608768000,415127000,,,
114,606881000,608768000,,,
